GEOGID,GEOGTYPE,GEOGDESC
E13003,ED,Athlone East Rural
E13004,ED,Auburn
E13005,ED,Ballybroder
E13006,ED,Bellanalack
E13007,ED,Carn
E13008,ED,Castledaly
E13009,ED,Glassan
E13010,ED,Kilcumreragh
E13011,ED,Killinure
E13012,ED,Moate
E13013,ED,Mount Temple
E13014,ED,Moydrum
E13015,ED,Muckanagh
E13016,ED,Tubbrit
E13017,ED,Umma
E13018,ED,Ardnagragh
E13019,ED,Ballymore
E13020,ED,Doonis
E13021,ED,Drumraney
E13022,ED,Noughaval
E13023,ED,Piercetown
E13024,ED,Templepatrick
E13025,ED,Winetown
E13026,ED,Boherquill
E13027,ED,Coole
E13028,ED,Coolure
E13029,ED,Finnea
E13030,ED,Glore
E13031,ED,Knockarrow
E13032,ED,Rathowen
E13033,ED,Street
E13034,ED,Ballinlough
E13035,ED,Ballyhealy
E13036,ED,Ballynaskeagh
E13037,ED,Bracklin
E13038,ED,Clonarney
E13039,ED,Collinstown
E13040,ED,Copperalley
E13041,ED,Delvin
E13042,ED,Faughalstown
E13043,ED,Fore East
E13044,ED,Fore West
E13045,ED,Hilltown
E13046,ED,Kilcumny
E13047,ED,Killua
E13048,ED,Killulagh
E13049,ED,Kilpatrick
E13050,ED,Kinturk
E13051,ED,Riverdale
E13052,ED,Rosmead
E13053,ED,Ardnaglew
E13054/13085,ED,Ballinalack / Lackan
E13055,ED,Ballykilmore
E13056,ED,Ballymorin
E13057,ED,Ballynagore
E13058,ED,Belvidere
E13059,ED,Carrick
E13060,ED,Castle
E13061,ED,Castlelost
E13062,ED,Castletown
E13063,ED,Churchtown
E13064,ED,Cloghan
E13065,ED,Clonfad
E13066,ED,Clonlost
E13067,ED,Derrymore
E13068,ED,Dysart
E13069,ED,Emper
E13070,ED,Enniscoffey
E13071,ED,Gaybrook
E13072,ED,Glenlough
E13073,ED,Greenpark
E13074,ED,Griffinstown
E13075,ED,Heathstown
E13076,ED,Hopestown
E13077,ED,Huntingdon
E13078,ED,Jamestown
E13079,ED,Kilbeggan
E13080,ED,Kilbixy
E13081,ED,Killare
E13082,ED,Killucan
E13083,ED,Kinnegad
E13084,ED,Knockdrim
E13086,ED,Lauree
E13087,ED,Middleton
E13088,ED,Milltown
E13089,ED,Mullingar Rural
E13090,ED,Mullingar North Urban
E13091,ED,Mullingar South Urban
E13092,ED,Multyfarnham
E13093,ED,Newtown
E13094,ED,Owel
E13095,ED,Portloman
E13096,ED,Raharney
E13097,ED,Rahugh
E13098,ED,Rathconrath
E13099,ED,Russellstown
E13100,ED,Skeagh
E13101,ED,Sonna
E13102,ED,Stonehall
E13103,ED,Streamstown
E13104,ED,Taghmon
E13105,ED,Tullaghan
E13106,ED,Woodland
E14001,ED,Enniscorthy Urban
E14002,ED,New Ross Urban
E14003,ED,Rosbercon Urban
E14004,ED,Wexford No. 1 Urban
E14005,ED,Wexford No. 2 Urban
E14006,ED,Wexford No. 3 Urban
E14007,ED,Ballindaggan
E14008,ED,Ballycarney
E14009,ED,Ballyhoge
E14010,ED,Ballyhuskard
E14011,ED,Ballymore
E14012,ED,Ballyvaldon
E14013,ED,Bolaboy
E14014,ED,Bree
E14015,ED,Castleboro
E14016,ED,Castledockrell
E14017,ED,Castle Ellis
E14018,ED,Castle Talbot
E14019,ED,Clonroche
E14020,ED,Edermine
E14021,ED,Enniscorthy Rural
E14022,ED,Ferns
E14023,ED,Kilbora
E14024,ED,Kilcormick
E14025,ED,Killann
E14026,ED,Kilmallock
E14027,ED,Killoughrum
E14028,ED,Kilrush
E14029,ED,Kiltealy
E14030,ED,Marshalstown
E14031,ED,Moyacomb
E14032,ED,Newtownbarry
E14033,ED,Rossard
E14034,ED,St. Mary's
E14035,ED,The Harrow
E14036,ED,The Leap
E14037,ED,Tinnacross
E14038,ED,Tombrack
E14039,ED,Ardamine
E14040,ED,Balloughter
E14041,ED,Ballybeg
E14042,ED,Ballycanew
E14043,ED,Ballyellis
E14044,ED,Ballygarrett
E14045,ED,Ballylarkin
E14046,ED,Ballynestragh
E14047,ED,Cahore
E14048,ED,Coolgreany
E14049,ED,Courtown
E14050,ED,Ford
E14051,ED,Gorey Rural
E14052,ED,Gorey Urban
E14053,ED,Huntingtown
E14054,ED,Kilcomb
E14055,ED,Kilgorman
E14056,ED,Killenagh
E14057,ED,Killincooly
E14058,ED,Kilnahue
E14059,ED,Limerick
E14060,ED,Monamolin
E14061,ED,Monaseed
E14062,ED,Rossminoge
E14063,ED,Wells
E14064,ED,Wingfield
E14065,ED,Adamstown
E14066,ED,Ballyanne
E14067,ED,Ballyhack
E14068,ED,Barrack Village
E14069,ED,Barronstown
E14070,ED,Carnagh
E14071,ED,Carrickbyrne
E14072,ED,Clongeen
E14073,ED,Clonleigh
E14074,ED,Dunmain
E14075,ED,Fethard
E14076,ED,Horetown
E14077,ED,Inch
E14078,ED,Kilgarvan
E14079,ED,Killesk
E14080,ED,Kilmokea
E14081,ED,Newbawn
E14082,ED,New Ross Rural
E14083,ED,Oldcourt
E14084,ED,Old Ross
E14085,ED,Rathroe
E14086,ED,Rochestown
E14087,ED,Templeludigan
E14088,ED,Templetown
E14089,ED,Tintern
E14090,ED,Whitechurch
E14091,ED,Whitemoor
E14092,ED,Ardcavan
E14093,ED,Ardcolm
E14094,ED,Artramon
E14095,ED,Aughwilliam
E14096,ED,Ballymitty
E14097,ED,Bannow
E14098,ED,Bridgetown
E14099,ED,Carrick
E14100,ED,Drinagh
E14101,ED,Duncormick
E14102,ED,Forth
E14103,ED,Glynn
E14104,ED,Harperstown
E14105,ED,Harristown
E14106,ED,Kilbride
E14107,ED,Kilcowan
E14108,ED,Killag
E14109,ED,Killinick
E14110,ED,Killurin
E14111,ED,Kilmore
E14112,ED,Kilpatrick
E14113,ED,Kilscoran
E14114,ED,Lady's Island
E14115,ED,Mayglass
E14116,ED,Newcastle
E14117,ED,Rathaspick
E14118,ED,Rosslare
E14119,ED,St. Helen's
E14120,ED,Tacumshin
E14121,ED,Taghmon
E14122,ED,Tomhaggard
E14123,ED,Wexford Rural
E14124,ED,Whitechurch
E15001,ED,Arklow No. 1 Urban
E15002,ED,Arklow No. 2 Urban
E15003,ED,Bray No. 1
E15004,ED,Bray No. 2
E15005,ED,Bray No. 3
E15006,ED,Rathmichael (Bray)
E15007,ED,Wicklow Urban
E15008,ED,Ballinguile
E15009,ED,Baltinglass
E15010,ED,Blessington
E15011,ED,Burgage
E15012,ED,Donaghmore
E15013,ED,Donard
E15014,ED,Dunlavin
E15015,ED,Eadestown
E15016,ED,Hartstown
E15017,ED,Hollywood
E15018,ED,Humewood
E15019,ED,Imael North
E15020,ED,Imael South
E15021,ED,Kilbride
E15022,ED,Lackan
E15023,ED,Lugglass
E15024,ED,Rathdangan
E15025,ED,Rathsallagh
E15026,ED,Stratford
E15027,ED,Talbotstown
E15028,ED,The Grange
E15029,ED,Tober
E15030,ED,Togher
E15031,ED,Tuckmill
E15032,ED,Delgany
E15033,ED,Enniskerry
E15034,ED,Greystones
E15035,ED,Kilmacanoge
E15036,ED,Powerscourt
E15037,ED,Altidore
E15038,ED,Arklow Rural
E15039,ED,Aughrim
E15040,ED,Avoca
E15041,ED,Ballinaclash
E15042,ED,Ballinacor
E15043,ED,Ballinderry
E15044,ED,Ballyarthur
E15045,ED,Ballycullen
E15046,ED,Brockagh
E15047,ED,Calary
E15048,ED,Cronebane
E15049,ED,Dunganstown East
E15050,ED,Dunganstown South
E15051,ED,Dunganstown West
E15052,ED,Ennereilly
E15053,ED,Glendalough
E15054,ED,Glenealy
E15055,ED,Kilbride
E15056,ED,Kilcoole
E15057,ED,Killiskey
E15058,ED,Knockrath
E15059,ED,Moneystown
E15060,ED,Newcastle Lower
E15061,ED,Newcastle Upper
E15062,ED,Oldtown
E15063,ED,Rathdrum
E15064,ED,Togher
E15065,ED,Trooperstown
E15066,ED,Wicklow Rural
E15067,ED,Aghowle
E15068,ED,Ballingate
E15069,ED,Ballinglen
E15070,ED,Ballybeg
E15071,ED,Carnew
E15072,ED,Coolattin
E15073,ED,Coolballintaggart
E15074,ED,Coolboy
E15075,ED,Cronelea
E15076,ED,Kilballyowen
E15077,ED,Killinure
E15078,ED,Kilpipe
E15079,ED,Money
E15080,ED,Rath
E15081,ED,Shillelagh
E15082,ED,Tinahely
E16001,ED,Ennis No. 1 Urban
E16002,ED,Ennis No. 2 Urban
E16003,ED,Ennis No. 3 Urban
E16004,ED,Ennis No. 4 Urban
E16005,ED,Kilrush Urban
E16006,ED,Abbey
E16007,ED,Carran
E16009,ED,Derreen
E16010,ED,Drumcreehy
E16011,ED,Gleninagh
E16012,ED,Lisdoonvarna
E16013,ED,Mountelva
E16014/16008,ED,Noughaval / Castletown
E16015,ED,Oughtmama
E16016,ED,Rathborney
E16018,ED,Boston
E16019,ED,Corrofin
E16020/16017,ED,Glenroe / Ballyeighter
E16021,ED,Killinaboy
E16022,ED,Kiltoraght
E16023,ED,Muckanagh
E16024,ED,Rath
E16025,ED,Ruan
E16026,ED,Clareabbey
E16027,ED,Clenagh
E16028,ED,Crusheen
E16029,ED,Doora
E16030,ED,Drumline
E16031,ED,Dysert
E16032,ED,Ennis Rural
E16033,ED,Furroor
E16034,ED,Kilcloher
E16035,ED,Killanniv
E16036,ED,Killone
E16037,ED,Kilnamona
E16038,ED,Kilraghtis
E16039,ED,Kinturk
E16040,ED,Newmarket
E16041,ED,Sixmilebridge
E16042,ED,Spancelhill
E16043,ED,Templemaley
E16044,ED,Tomfinlough
E16045,ED,Urlan
E16046,ED,Annagh
E16047,ED,Ballagh
E16048,ED,Ballyea
E16049,ED,Ballysteen
E16050,ED,Ballyvaskin
E16051,ED,Cloghaun
E16052,ED,Cloonanaha
E16053,ED,Clooney
E16054,ED,Ennistimon
E16055,ED,Formoyle
E16056,ED,Kilfenora
E16057,ED,Killaspuglonane
E16058,ED,Killilagh
E16059,ED,Kilshanny
E16060,ED,Liscannor
E16061,ED,Lurraga
E16062,ED,Magherareagh
E16063,ED,Milltown Malbay
E16064,ED,Moy
E16065,ED,Smithstown
E16066,ED,Ballynacally
E16067,ED,Clondagad
E16068,ED,Coolmeen
E16069,ED,Kilchreest
E16070,ED,Kilfiddane
E16071,ED,Killadysert
E16072,ED,Killofin
E16073,ED,Kilmurry
E16074,ED,Liscasey
E16075,ED,Lisheen
E16076,ED,Rinealon
E16077,ED,Cahermurphy
E16078,ED,Cloonadrum
E16079,ED,Clooncoorha
E16080,ED,Cooraclare
E16081,ED,Creegh
E16082,ED,Doonbeg
E16083,ED,Drumellihy
E16084,ED,Einagh
E16085,ED,Glenmore
E16086,ED,Kilballyowen
E16087,ED,Kilfearagh
E16088,ED,Kilkee
E16089,ED,Killard
E16090,ED,Killimer
E16091,ED,Kilmihil
E16092,ED,Kilmurry
E16093,ED,Kilrush Rural
E16094,ED,Knock
E16095,ED,Knocknaboley
E16096,ED,Knocknagore
E16097,ED,Moveen
E16098,ED,Moyarta
E16099,ED,Mullagh
E16100,ED,Querrin
E16101,ED,Rahona
E16102,ED,St. Martin's
E16103,ED,Tullig
E16104,ED,Tullycreen
E16105,ED,Ballycannan
E16106,ED,Ballyglass
E16107,ED,Cappavilla
E16108,ED,Castlecrine
E16109,ED,Cloghera
E16110,ED,Cloontra
E16111,ED,Cratloe
E16112,ED,Fahymore
E16113,ED,Killeely
E16114,ED,Killokennedy
E16115,ED,Kilseily
E16116,ED,Kiltenanlea
E16117,ED,Lackareagh
E16118,ED,Mountievers
E16119,ED,O'Briensbridge
E16120,ED,Ayle
E16121,ED,Boherglass
E16122,ED,Caherhurley
E16124,ED,Cappaghabaun
E16125,ED,Carrowbaun
E16126,ED,Cloonusker
E16127,ED,Coolreagh
E16128/16123,ED,Corlea / Cahermurphy
E16129,ED,Derrynagittagh
E16130,ED,Drummaan
E16131,ED,Feakle
E16132/16133,ED,Inishcaltra North / Inishcaltra South
E16134,ED,Killaloe
E16135,ED,Mountshannon
E16136,ED,Ogonnelloe
E16137,ED,Scarriff
E16138,ED,Ballyblood
E16139,ED,Ballynahinch
E16140,ED,Caher
E16141,ED,Clooney
E16142,ED,Dangan
E16143,ED,Glendree
E16144,ED,Kilkishen
E16145,ED,Killanena
E16146,ED,Killuran
E16147,ED,Kiltannon
E16148,ED,Kyle
E16149,ED,Loughea
E16150,ED,Newgrove
E16151,ED,Quin
E16152,ED,Rathclooney
E16153,ED,Rossroe
E16154,ED,Toberbreeda
E16155,ED,Tulla
E17001,ED,Ballinlough A
E17002,ED,Ballinlough B
E17003,ED,Ballinlough C
E17004,ED,Ballyphehane A
E17005,ED,Ballyphehane B
E17006,ED,Bishopstown A
E17007,ED,Bishopstown B
E17008,ED,Bishopstown C
E17009,ED,Bishopstown D
E17010,ED,Bishopstown E
E17011,ED,Blackpool A
E17012,ED,Blackpool B
E17013,ED,Browningstown
E17014,ED,Centre A
E17015,ED,Centre B
E17016,ED,Churchfield
E17017,ED,City Hall A
E17018,ED,City Hall B
E17019,ED,Commons
E17020,ED,Evergreen
E17021,ED,Fair Hill A
E17022,ED,Fair Hill B
E17023,ED,Fair Hill C
E17024,ED,Farranferris A
E17025,ED,Farranferris B
E17026,ED,Farranferris C
E17027,ED,Gillabbey A
E17028,ED,Gillabbey B
E17029,ED,Gillabbey C
E17030,ED,Glasheen A
E17031,ED,Glasheen B
E17032,ED,Glasheen C
E17033,ED,Greenmount
E17034,ED,Gurranebraher A
E17035,ED,Gurranebraher B
E17036,ED,Gurranebraher C
E17037,ED,Gurranebraher D
E17038,ED,Gurranebraher E
E17039,ED,Knocknaheeny
E17040,ED,Knockrea A
E17041,ED,Knockrea B
E17042,ED,Mahon A
E17043,ED,Mahon B
E17044,ED,Mahon C
E17045,ED,Mardyke
E17046,ED,Mayfield
E17047,ED,Montenotte A
E17048,ED,Montenotte B
E17049,ED,Pouladuff A
E17050,ED,Pouladuff B
E17051,ED,St. Patrick's A
E17052,ED,St. Patrick's B
E17053,ED,St. Patrick's C
E17054,ED,Shanakiel
E17055,ED,Shandon A
E17056,ED,Shandon B
E17057,ED,South Gate A
E17058,ED,South Gate B
E17059,ED,Sundays Well A
E17060,ED,Sundays Well B
E17061,ED,The Glen A
E17062,ED,The Glen B
E17063,ED,The Lough
E17064,ED,Tivoli A
E17065,ED,Tivoli B
E17066,ED,Togher A
E17067,ED,Togher B
E17068,ED,Tramore A
E17069,ED,Tramore B
E17070,ED,Tramore C
E17071,ED,Turners Cross A
E17072,ED,Turners Cross B
E17073,ED,Turners Cross C
E17074,ED,Turners Cross D
E18001,ED,Clonakilty Urban
E18002,ED,Cobh Urban
E18003,ED,Fermoy Urban
E18004,ED,Kinsale Urban
E18005,ED,Macroom Urban
E18006,ED,Mallow North Urban
E18007,ED,Mallow South Urban
E18008,ED,Midleton Urban
E18009,ED,Skibbereen Urban
E18010,ED,Youghal Urban
E18011,ED,Ballinadee
E18012,ED,Ballygroman
E18013,ED,Ballymodan
E18014,ED,Ballymurphy
E18015,ED,Bandon
E18016,ED,Baurleigh
E18017,ED,Bengour
E18018,ED,Boulteen
E18019,ED,Brinny
E18020,ED,Cashel
E18021,ED,Inishannon
E18022,ED,Kilbonane
E18023,ED,Kilbrittain
E18024,ED,Kilbrogan
E18025,ED,Knockavilly
E18026,ED,Knockroe
E18027,ED,Moviddy
E18028,ED,Murragh
E18029,ED,Rathclarin
E18030,ED,Teadies
E18031,ED,Templemartin
E18032,ED,Ahil
E18033/18046,ED,Bantry Rural / Whiddy
E18034,ED,Bantry Urban
E18035,ED,Douce
E18036,ED,Durrus East
E18037,ED,Durrus West
E18038,ED,Glanlough
E18039,ED,Glengarriff
E18040,ED,Kealkill
E18041,ED,Kilcaskan
E18042,ED,Mealagh
E18043,ED,Scart
E18044,ED,Seefin
E18045,ED,Sheepshead
E18047,ED,Adrigole
E18048,ED,Bear
E18049,ED,Coulagh
E18050,ED,Curryglass
E18051,ED,Kilcatherine
E18052,ED,Killaconenagh
E18053,ED,Kilnamanagh
E18054,ED,Abbeymahon
E18055,ED,Ardfield
E18056,ED,Argideen
E18057,ED,Butlerstown
E18058,ED,Cahermore
E18059,ED,Castleventry
E18060,ED,Clonakilty Rural
E18061,ED,Coolcraheen
E18062,ED,Courtmacsherry
E18063,ED,Derry
E18064,ED,Kilkerranmore
E18065,ED,Kilmaloda East
E18066,ED,Kilmaloda West
E18067,ED,Kilmoylerane
E18068,ED,Kilnagross
E18069,ED,Knocks
E18070,ED,Rathbarry
E18071,ED,Rosscarbery
E18072,ED,Rossmore
E18073,ED,Templeomalus
E18074,ED,Timoleague
E18075,ED,Ballincollig
E18076,ED,Ballygarvan
E18077,ED,Ballynaglogh
E18078,ED,Bishopstown (Part Rural)
E18079,ED,Blackpool
E18080,ED,Blarney
E18081,ED,Caherlag
E18082,ED,Carrigaline
E18083,ED,Carrignavar
E18084,ED,Carrigrohane Beg
E18085,ED,Cobh Rural
E18086,ED,Douglas
E18087,ED,Dripsey
E18088,ED,Dunderrow
E18089,ED,Firmount
E18090,ED,Glenville
E18091,ED,Greenfort
E18092,ED,Inishkenny
E18093,ED,Killeagh
E18094,ED,Knockantota
E18095,ED,Knockraha
E18096,ED,Lehenagh
E18097,ED,Matehy
E18098,ED,Monkstown Rural
E18099,ED,Monkstown Urban
E18100,ED,Ovens
E18101,ED,Rathcooney (Part Rural)
E18102,ED,Riverstown
E18103,ED,St. Mary's (Part Rural)
E18104,ED,Whitechurch
E18105,ED,Aultagh
E18106,ED,Ballingurteen
E18107,ED,Ballymoney
E18108,ED,Béal Átha an Ghaorthaidh
E18109,ED,Bealock
E18110,ED,Carrigboy
E18111,ED,Castletown
E18112,ED,Coolmountain
E18113,ED,Drinagh
E18114,ED,Dunmanway North
E18115,ED,Dunmanway South
E18116,ED,Garrown
E18117,ED,Kinneigh
E18118,ED,Manch
E18119,ED,Milane
E18120,ED,Teerelton
E18121,ED,Aghern
E18122,ED,Ballyhooly
E18123,ED,Ballynoe
E18124,ED,Carrig
E18125,ED,Castlecooke
E18126,ED,Castle Hyde
E18127,ED,Castlelyons
E18128,ED,Castletownroche
E18129,ED,Coole
E18130,ED,Curraglass
E18131,ED,Fermoy Rural
E18132,ED,Glanworth East
E18133,ED,Glanworth West
E18134,ED,Gortnaskehy
E18135,ED,Gortroe
E18136,ED,Kilcor
E18137,ED,Kilcummer
E18138,ED,Kildinan
E18139,ED,Killathy
E18140,ED,Kilworth
E18141,ED,Knockmourne
E18142,ED,Leitrim
E18143,ED,Rathcormack
E18144,ED,Watergrasshill
E18145,ED,Allow
E18146,ED,Ballyhoolahan
E18147,ED,Banteer
E18148,ED,Barleyhill
E18149,ED,Barnacurra
E18150,ED,Bawncross
E18151,ED,Boherboy
E18152,ED,Castlecor
E18153,ED,Castlemagner
E18154,ED,Clonfert East
E18155,ED,Clonfert West
E18156,ED,Clonmeen
E18157,ED,Coolclogh
E18158,ED,Dromina
E18159,ED,Glenlara
E18160,ED,Gortmore
E18161,ED,Greenane
E18162,ED,Kanturk
E18163,ED,Kilbrin
E18164,ED,Kilmeen
E18165,ED,Knockatooan
E18166,ED,Knocktemple
E18167,ED,Meens
E18168,ED,Milford
E18169,ED,Nad
E18170,ED,Newmarket
E18171,ED,Newtown
E18172,ED,Roskeen
E18173,ED,Rosnalee
E18174,ED,Rowls
E18175,ED,Tincoora
E18176,ED,Tullylease
E18177,ED,Williamstown
E18178,ED,Ballinspittle
E18179,ED,Ballyfeard
E18180,ED,Ballyfoyle
E18181,ED,Ballymackean
E18182,ED,Ballymartle
E18183,ED,Carrigaline
E18184,ED,Coolmain
E18185,ED,Cullen
E18186,ED,Farranbrien
E18187,ED,Kilmonoge
E18188,ED,Kilpatrick
E18189,ED,Kinsale Rural
E18190,ED,Kinure
E18191,ED,Laherne
E18192,ED,Leighmoney
E18193,ED,Liscleary
E18194,ED,Nohaval
E18195,ED,Templebreedy
E18196,ED,Templemichael
E18197,ED,Aghinagh
E18198,ED,Aglish
E18199,ED,Béal Átha an Ghaorthaidh (Bealanageary)
E18200,ED,Ceann Droma
E18201,ED,Cannaway
E18202,ED,Claonráth
E18203,ED,Clondrohid
E18204,ED,Clonmoyle
E18205,ED,Doire Fhínín
E18206,ED,Gort na Tiobratan
E18207,ED,Gowlane
E18208,ED,Greenville
E18209,ED,Inchigeelagh
E18210,ED,Kilberrihert
E18211,ED,Kilcullen
E18212,ED,Cill na Martra
E18213,ED,Macloneigh
E18214,ED,Magourney
E18215,ED,Mashanaglass
E18216,ED,Mountrivers
E18217,ED,Rahalisk
E18218,ED,An Sliabh Riabhach
E18219,ED,Na hUláin
E18220,ED,Warrenscourt
E18221,ED,Ardskeagh
E18222,ED,Ballyclogh
E18223,ED,Ballynamona
E18224,ED,Buttevant
E18225,ED,Caherduggan
E18226,ED,Carrig
E18227,ED,Churchtown
E18228,ED,Clenor
E18229,ED,Doneraile
E18230,ED,Dromore
E18231,ED,Imphrick
E18232,ED,Kilmaclenine
E18233,ED,Kilshannig
E18234,ED,Liscarroll
E18235,ED,Mallow Rural
E18236,ED,Milltown
E18237,ED,Monanimy
E18238,ED,Rahan
E18239,ED,Rathluirc
E18240,ED,Shanballymore
E18241,ED,Skahanagh
E18242,ED,Springfort
E18243,ED,Streamhill
E18244,ED,Templemary
E18245,ED,Wallstown
E18246,ED,Ballintemple
E18247,ED,Ballycottin
E18248,ED,Ballyspillane
E18249,ED,Carrigtohill
E18250,ED,Castlemartyr
E18251,ED,Clonmult
E18252,ED,Cloyne
E18253,ED,Corkbeg
E18254,ED,Dangan
E18255,ED,Dungourney
E18256,ED,Garryvoe
E18257,ED,Ightermurragh
E18258,ED,Inch
E18259,ED,Lisgoold
E18260,ED,Midleton Rural
E18261,ED,Mogeely
E18262,ED,Rostellan
E18263,ED,Templebodan
E18264,ED,Templenacarriga
E18265,ED,Caherbarnagh
E18266,ED,Coomlogane
E18267,ED,Crinnaloo
E18268,ED,Cullen
E18269,ED,Derragh
E18270,ED,Doonasleen
E18271,ED,Drishane
E18272,ED,Keale
E18273,ED,Kilcorney
E18274,ED,Knocknagree
E18275,ED,Rathcool
E18276,ED,Skagh
E18277,ED,Ballyarthur
E18278,ED,Derryvillane
E18279,ED,Farahy
E18280,ED,Kildorrery
E18281,ED,Kilgullane
E18282,ED,Kilphelan
E18283,ED,Marshalstown
E18284,ED,Mitchelstown
E18285,ED,Templemolaga
E18286,ED,Aghadown North
E18287,ED,Aghadown South
E18288,ED,Bredagh
E18289,ED,Caheragh
E18290,ED,Cléire
E18291,ED,Carrigbaun
E18292,ED,Castlehaven North
E18293,ED,Castlehaven South
E18294,ED,Cloghdonnell
E18295,ED,Cloonkeen
E18296,ED,Drinagh
E18297,ED,Dromdaleague North
E18298,ED,Dromdaleague South
E18299,ED,Garranes
E18300,ED,Gortnascreeny
E18301,ED,Kilfaughnabeg
E18302,ED,Killeenleagh
E18303,ED,Knockskagh
E18304,ED,Myross
E18305,ED,Shreelane
E18306,ED,Skibbereen Rural
E18307,ED,Tullagh
E18308,ED,Woodfort
E18309,ED,Ballybane
E18310,ED,Ballydehob
E18311,ED,Coolagh
E18312,ED,Crookhaven
E18313,ED,Dunbeacon
E18314,ED,Dunmanus
E18315,ED,Goleen
E18316,ED,Kilcoe
E18317,ED,Lowertown
E18318,ED,Skull
E18319,ED,Toormore
E18320,ED,Ardagh
E18321,ED,Clonpriest
E18322,ED,Kilcronat
E18323,ED,Killeagh
E18324,ED,Kilmacdonogh
E18325,ED,Youghal Rural
E19001,ED,Killarney Urban
E19002,ED,Listowel Urban
E19003,ED,Tralee Urban
E19004,ED,Na Beathacha
E19005,ED,Baile an Sceilg
E19006,ED,An Baile Breac
E19007,ED,Caher
E19008,ED,Cathair Dónall
E19009/19020,ED,Ceannúigh / Máistir Gaoithe
E19010,ED,Castlequin
E19012,ED,Curraghbeg
E19013,ED,Doire Fhíonáin
E19014/19011,ED,Doire Ianna / Cloon
E19015,ED,An tImleach
E19016,ED,Glanbehy
E19017,ED,Killinane
E19018,ED,Lickeen
E19019,ED,Loch Luíoch
E19021,ED,Maum
E19022,ED,Portmagee
E19023,ED,Toghroinn Fhíonáin
E19024,ED,Teeranearagh
E19025,ED,Valencia
E19026,ED,Ballinvoher
E19027,ED,An Baile Dubh
E19028,ED,Ballynacourty
E19029,ED,Cé Bhréanainn
E19030,ED,Castlegregory
E19031,ED,An Clochán
E19032,ED,Deelis
E19033,ED,An Daingean
E19034,ED,Dún Chaoin
E19035,ED,Dún Urlann
E19036,ED,Na Gleannta
E19037,ED,Inch
E19038,ED,Cill Maoilchéadair
E19039,ED,Cill Chuáin
E19040,ED,Cinn Aird
E19041,ED,Lack
E19042,ED,Márthain
E19043,ED,An Mhin Aird
E19044,ED,An Sráidbhaile
E19045,ED,Ceann Trá
E19046,ED,Ardea
E19047,ED,Banawn
E19048,ED,Cappagh
E19049,ED,Castlecove
E19050,ED,Dawros
E19051,ED,Dromore
E19052,ED,Glanlee
E19053,ED,Glanlough
E19054,ED,Glanmore
E19055,ED,Greenane
E19056,ED,Kenmare
E19057,ED,Kilgarvan
E19058,ED,Loughbrin
E19059,ED,Reen
E19060,ED,Sneem
E19061,ED,Tahilla
E19062,ED,Aghadoe
E19063,ED,Aglish
E19064,ED,Ballyhar
E19065,ED,Brewsterfield
E19066,ED,Caragh
E19067,ED,Churchtown
E19068,ED,Clydagh
E19069,ED,Coolies
E19070,ED,Coom
E19071,ED,Curraghmore
E19072,ED,Currans
E19073,ED,Doocarrig
E19074,ED,Dromin
E19075,ED,Dunloe
E19076,ED,Flesk
E19077,ED,Headfort
E19078,ED,Kilbonane
E19079,ED,Kilcummin
E19080,ED,Kilfelim
E19081,ED,Kilgobnet
E19082,ED,Killarney Rural
E19083,ED,Killeentierna
E19084,ED,Killorglin
E19085,ED,Kilnanare
E19086,ED,Knocknahoe
E19087,ED,Lahard
E19088,ED,Milltown
E19089,ED,Molahiffe
E19090,ED,Muckross
E19091,ED,Rathmore
E19092,ED,Rockfield
E19093,ED,Ardagh
E19094,ED,Astee
E19095,ED,Ballincloher
E19096,ED,Ballyconry
E19097,ED,Ballyduff
E19098,ED,Ballyegan
E19099,ED,Ballyhorgan
E19100,ED,Beal
E19101,ED,Carrig
E19102,ED,Causeway
E19103,ED,Cloontubbrid
E19104,ED,Drommartin
E19105,ED,Duagh
E19106,ED,Ennismore
E19107,ED,Gullane
E19108,ED,Gunsborough
E19109,ED,Kilfeighny
E19110,ED,Killehenny
E19111,ED,Killury
E19112,ED,Kilmeany
E19113,ED,Kilshenane
E19114,ED,Kiltomy
E19115,ED,Leitrim
E19116,ED,Lislaughtin
E19117,ED,Lisselton
E19118,ED,Listowel Rural
E19119,ED,Lixnaw
E19120,ED,Moynsha
E19121,ED,Newtownsandes
E19122,ED,Rathea
E19123,ED,Shronowen
E19124,ED,Tarbert
E19125,ED,Tarmon
E19126,ED,Trienearagh
E19127,ED,Urlee
E19128,ED,Abbeydorney
E19129,ED,Arabela
E19130,ED,Ardfert
E19131,ED,Ballyegan
E19132,ED,Ballyheige
E19133,ED,Ballynahaglish
E19134,ED,Ballynorig
E19135,ED,Ballyseedy
E19136,ED,Banna
E19137,ED,Baurtregaum
E19138,ED,Blennerville
E19139,ED,Boolteens
E19140,ED,Brosna
E19141,ED,Carker
E19142,ED,Castleisland
E19143,ED,Clogherbrien
E19144,ED,Cordal
E19145,ED,Crinny
E19146,ED,Derreen
E19147,ED,Doon
E19148,ED,Gneeves
E19149,ED,Kerryhead
E19150,ED,Kilflyn
E19151,ED,Kilgarrylander
E19152,ED,Kilgobban
E19153,ED,Killahan
E19154,ED,Kilmurry
E19155,ED,Kiltallagh
E19156,ED,Knockglass
E19157,ED,Knocknagashel
E19158,ED,Lackabaun
