GEOGID,GEOGTYPE,GEOGDESC
E03007,ED,Clondalkin-Monastery
E03008,ED,Clondalkin-Moorfield
E03009,ED,Clondalkin-Rowlagh
E03010,ED,Clondalkin Village
E03011,ED,Edmondstown
E03012,ED,Firhouse-Ballycullen
E03013,ED,Firhouse-Knocklyon
E03014,ED,Firhouse Village
E03015,ED,Lucan-Esker
E03016,ED,Lucan Heights
E03017,ED,Lucan-St. Helen's
E03018,ED,Newcastle
E03019,ED,Palmerston Village
E03020,ED,Palmerston West
E03021,ED,Rathcoole
E03022,ED,Rathfarnham-Ballyroan
E03023,ED,Rathfarnham-Butterfield
E03024,ED,Rathfarnham-Hermitage
E03025,ED,Rathfarnham-St. Enda's
E03026,ED,Rathfarnham Village
E03027,ED,Saggart
E03028,ED,Tallaght-Avonbeg
E03029,ED,Tallaght-Belgard
E03030,ED,Tallaght-Fettercairn
E03031,ED,Tallaght-Glenview
E03032,ED,Tallaght-Jobstown
E03033,ED,Tallaght-Killinardan
E03034,ED,Tallaght-Kilnamanagh
E03035,ED,Tallaght-Kiltipper
E03036,ED,Tallaght-Kingswood
E03037,ED,Tallaght-Millbrook
E03038,ED,Tallaght-Oldbawn
E03039,ED,Tallaght-Springfield
E03040,ED,Tallaght-Tymon
E03041,ED,Templeogue-Cypress
E03042,ED,Templeogue-Kimmage Manor
E03043,ED,Templeogue-Limekiln
E03044,ED,Templeogue-Orwell
E03045,ED,Templeogue-Osprey
E03046,ED,Templeogue Village
E03047,ED,Terenure-Cherryfield
E03048,ED,Terenure-Greentrees
E03049,ED,Terenure-St. James
E04001,ED,Airport
E04002,ED,Balbriggan Rural
E04003,ED,Balbriggan Urban
E04004,ED,Baldoyle
E04005,ED,Balgriffin
E04006,ED,Ballyboghil
E04007,ED,Balscadden
E04008,ED,Blanchardstown-Abbotstown
E04009,ED,Blanchardstown-Blakestown
E04010,ED,Blanchardstown-Coolmine
E04011,ED,Blanchardstown-Corduff
E04012,ED,Blanchardstown-Delwood
E04013,ED,Blanchardstown-Mulhuddart
E04014,ED,Blanchardstown-Roselawn
E04015,ED,Blanchardstown-Tyrrelstown
E04016,ED,Castleknock-Knockmaroon
E04017,ED,Castleknock-Park
E04018,ED,Clonmethan
E04019,ED,Donabate
E04020,ED,Dubber
E04021,ED,Garristown
E04022,ED,Hollywood
E04023,ED,Holmpatrick
E04024,ED,Howth
E04025,ED,Kilsallaghan
E04026,ED,Kinsaley
E04027,ED,Lucan North
E04028,ED,Lusk
E04029,ED,Malahide East
E04030,ED,Malahide West
E04031,ED,Portmarnock North
E04032,ED,Portmarnock South
E04033,ED,Rush
E04034,ED,Skerries
E04035,ED,Sutton
E04036,ED,Swords-Forrest
E04037,ED,Swords-Glasmore
E04038,ED,Swords-Lissenhall
E04039,ED,Swords-Seatown
E04040,ED,Swords Village
E04041,ED,The Ward
E04042,ED,Turnapin
E05001,ED,Ballinteer-Broadford
E05002,ED,Ballinteer-Ludford
E05003,ED,Ballinteer-Marley
E05004,ED,Ballinteer-Meadowbroads
E05005,ED,Ballinteer-Meadowmount
E05006,ED,Ballinteer-Woodpark
E05007,ED,Ballybrack
E05008,ED,Blackrock-Booterstown
E05009,ED,Blackrock-Carysfort
E05010,ED,Blackrock-Central
E05011,ED,Blackrock-Glenomena
E05012,ED,Blackrock-Monkstown
E05013,ED,Blackrock-Newpark
E05014,ED,Blackrock-Seapoint
E05015,ED,Blackrock-Stradbrook
E05016,ED,Blackrock-Templehill
E05017,ED,Blackrock-Williamstown
E05018,ED,Cabinteely-Granitefield
E05019,ED,Cabinteely-Kilbogget
E05020,ED,Cabinteely-Loughlinstown
E05021,ED,Cabinteely-Pottery
E05022,ED,Churchtown-Castle
E05023,ED,Churchtown-Landscape
E05024,ED,Churchtown-Nutgrove
E05025,ED,Churchtown-Orwell
E05026,ED,Churchtown-Woodlawn
E05027,ED,Clonskeagh-Belfield
E05028,ED,Clonskeagh-Farranboley
E05029,ED,Clonskeagh-Milltown
E05030,ED,Clonskeagh-Roebuck
E05031,ED,Clonskeagh-Windy Arbour
E05032,ED,Dalkey-Avondale
E05033,ED,Dalkey-Bullock
E05034,ED,Dalkey-Coliemore
E05035,ED,Dalkey Hill
E05036,ED,Dalkey Upper
E05037,ED,Dundrum-Balally
E05038,ED,Dundrum-Kilmacud
E05039,ED,Dundrum-Sandyford
E05040,ED,Dundrum-Sweetmount
E05041,ED,Dundrum-Taney
E05042,ED,Dún Laoghaire-East Central
E05043,ED,Dún Laoghaire-Glasthule
E05044,ED,Dún Laoghaire-Glenageary
E05045,ED,Dún Laoghaire-Monkstown Farm
E05046,ED,Dún Laoghaire-Mount Town
E05047,ED,Dún Laoghaire-Sallynoggin East
E05048,ED,Dún Laoghaire-Sallynoggin South
E05049,ED,Dún Laoghaire-Sallynoggin West
E05050,ED,Dún Laoghaire-Sandycove
E05051,ED,Dún Laoghaire-Salthill
E05052,ED,Dún Laoghaire-West Central
E05053,ED,Foxrock-Beechpark
E05054,ED,Foxrock-Carrickmines
E05055,ED,Foxrock-Deans Grange
E05056,ED,Foxrock-Torquay
E05057,ED,Glencullen
E05058,ED,Killiney North
E05059,ED,Killiney South
E05060,ED,Shankill-Rathmichael
E05061,ED,Shankill-Rathsallagh
E05062,ED,Shankill-Shanganagh
E05063,ED,Stillorgan-Deerpark
E05064,ED,Stillorgan-Kilmacud
E05065,ED,Stillorgan-Leopardstown
E05066,ED,Stillorgan-Merville
E05067,ED,Stillorgan-Mount Merrion
E05068,ED,Stillorgan-Priory
E05069,ED,Tibradden
E06001,ED,Athy East Urban
E06002,ED,Athy West Urban
E06003,ED,Naas Urban
E06004,ED,Athy Rural
E06005,ED,Ballaghmoon
E06006,ED,Ballitore
